,name,urls
22,,https://twitter.com/dog_rates/status/887517139158093824
56,,https://twitter.com/dog_rates/status/881536004380872706
169,,https://twitter.com/dog_rates/status/859196978902773760
193,,https://twitter.com/dog_rates/status/855459453768019968
335,,https://twitter.com/dog_rates/status/832645525019123713
369,Grace,https://twitter.com/dog_rates/status/828650029636317184
542,,https://twitter.com/dog_rates/status/806219024703037440
649,Forrest,https://twitter.com/dog_rates/status/792913359805018113
801,,https://twitter.com/dog_rates/status/772581559778025472
819,,https://twitter.com/dog_rates/status/770655142660169732
852,Zoey,https://twitter.com/dog_rates/status/765395769549590528
924,,https://twitter.com/dog_rates/status/755206590534418437
988,,https://twitter.com/dog_rates/status/748977405889503236
992,,https://twitter.com/dog_rates/status/748692773788876800
993,,https://twitter.com/dog_rates/status/748575535303884801
1002,,https://twitter.com/dog_rates/status/747885874273214464
1004,,https://twitter.com/dog_rates/status/747816857231626240
1017,,https://twitter.com/dog_rates/status/746872823977771008
1025,,https://twitter.com/dog_rates/status/746369468511756288
1031,,https://twitter.com/dog_rates/status/745422732645535745
1040,,https://twitter.com/dog_rates/status/744223424764059648
1049,,https://twitter.com/dog_rates/status/743222593470234624
1063,,https://twitter.com/dog_rates/status/741067306818797568
1071,,https://twitter.com/dog_rates/status/740214038584557568
1095,,https://twitter.com/dog_rates/status/736392552031657984
1097,,https://twitter.com/dog_rates/status/736225175608430592
1120,,https://twitter.com/dog_rates/status/731156023742988288
1121,,https://twitter.com/dog_rates/status/730924654643314689
1138,,https://twitter.com/dog_rates/status/728035342121635841
1193,,https://twitter.com/dog_rates/status/717537687239008257
1206,,https://twitter.com/dog_rates/status/715758151270801409
1207,,https://twitter.com/dog_rates/status/715733265223708672
1259,,https://twitter.com/dog_rates/status/710272297844797440
1340,,https://twitter.com/dog_rates/status/704859558691414016
1351,,https://twitter.com/dog_rates/status/704054845121142784
1361,,https://twitter.com/dog_rates/status/703079050210877440
1362,,https://twitter.com/dog_rates/status/703041949650034688
1368,,https://twitter.com/dog_rates/status/702539513671897089
1382,,https://twitter.com/dog_rates/status/700864154249383937
1385,,https://twitter.com/dog_rates/status/700747788515020802
1435,,https://twitter.com/dog_rates/status/697259378236399616
1457,,https://twitter.com/dog_rates/status/695095422348574720
1499,,https://twitter.com/dog_rates/status/692187005137076224
1527,,https://twitter.com/dog_rates/status/690360449368465409
1603,,https://twitter.com/dog_rates/status/685943807276412928
1693,,https://twitter.com/dog_rates/status/681297372102656000
1724,,https://twitter.com/dog_rates/status/680085611152338944
1737,,https://twitter.com/dog_rates/status/679530280114372609
1747,,https://twitter.com/dog_rates/status/679111216690831360
1785,,https://twitter.com/dog_rates/status/677644091929329666
1797,,https://twitter.com/dog_rates/status/677269281705472000
1815,,https://twitter.com/dog_rates/status/676613908052996102
1853,Wylie,https://twitter.com/dog_rates/status/675706639471788032
1854,,https://twitter.com/dog_rates/status/675534494439489536
1877,,https://twitter.com/dog_rates/status/675109292475830276
1878,,https://twitter.com/dog_rates/status/675047298674663426
1916,,https://twitter.com/dog_rates/status/674307341513269249
1923,,https://twitter.com/dog_rates/status/674082852460433408
1936,,https://twitter.com/dog_rates/status/673956914389192708
1941,,https://twitter.com/dog_rates/status/673715861853720576
1955,Kip,https://twitter.com/dog_rates/status/673636718965334016
1994,,https://twitter.com/dog_rates/status/672604026190569472
2001,,https://twitter.com/dog_rates/status/672482722825261057
2019,,https://twitter.com/dog_rates/status/672125275208069120
2030,,https://twitter.com/dog_rates/status/671789708968640512
2034,Jacob,https://twitter.com/dog_rates/status/671743150407421952
2037,,https://twitter.com/dog_rates/status/671561002136281088
2066,Rufus,https://twitter.com/dog_rates/status/671147085991960577
2116,Spork,https://twitter.com/dog_rates/status/670427002554466305
2125,Cherokee,https://twitter.com/dog_rates/status/670361874861563904
2128,Hemry,https://twitter.com/dog_rates/status/670303360680108032
2146,Alphred,https://twitter.com/dog_rates/status/669923323644657664
2153,,https://twitter.com/dog_rates/status/669661792646373376
2161,Alfredo,https://twitter.com/dog_rates/status/669564461267722241
2191,Leroi,https://twitter.com/dog_rates/status/668955713004314625
2198,,https://twitter.com/dog_rates/status/668815180734689280
2204,Berta,https://twitter.com/dog_rates/status/668636665813057536
2211,,https://twitter.com/dog_rates/status/668614819948453888
2212,,https://twitter.com/dog_rates/status/668587383441514497
2218,Chuk,https://twitter.com/dog_rates/status/668507509523615744
2222,,https://twitter.com/dog_rates/status/668466899341221888
2235,Alfonso,https://twitter.com/dog_rates/status/668171859951755264
2249,Cheryl,https://twitter.com/dog_rates/status/667861340749471744
2255,Jessiga,https://twitter.com/dog_rates/status/667773195014021121
2264,Klint,https://twitter.com/dog_rates/status/667538891197542400
2273,Kohl,https://twitter.com/dog_rates/status/667470559035432960
2287,Daryl,https://twitter.com/dog_rates/status/667177989038297088
2304,Pepe,https://twitter.com/dog_rates/status/666983947667116034
2311,Octaviath,https://twitter.com/dog_rates/status/666781792255496192
2314,Johm,https://twitter.com/dog_rates/status/666701168228331520
2326,,https://twitter.com/dog_rates/status/666411507551481857
2327,,https://twitter.com/dog_rates/status/666407126856765440
2333,,https://twitter.com/dog_rates/status/666337882303524864
2334,,https://twitter.com/dog_rates/status/666293911632134144
2335,,https://twitter.com/dog_rates/status/666287406224695296
2345,,https://twitter.com/dog_rates/status/666063827256086533
2346,,https://twitter.com/dog_rates/status/666058600524156928
2347,,https://twitter.com/dog_rates/status/666057090499244032
2348,,https://twitter.com/dog_rates/status/666055525042405380
2349,,https://twitter.com/dog_rates/status/666051853826850816
2350,,https://twitter.com/dog_rates/status/666050758794694657
2352,,https://twitter.com/dog_rates/status/666044226329800704
2353,,https://twitter.com/dog_rates/status/666033412701032449
2354,,https://twitter.com/dog_rates/status/666029285002620928
